id,price_usd
3632,570000.0
3633,164291.96875
2263404,200135.21875
2263405,99152.3203125
2263406,115820.9609375
2263407,99152.3203125
2263408,99152.3203125
2263409,99152.3203125
2263410,147287.796875
2263411,111325.0234375
2263412,111325.0234375
2263413,111325.0234375
2263415,320394.0
2263416,738873.4375
2263417,104424.78125
2263418,104424.78125
2263419,104424.78125
2263420,104424.78125
2263421,104424.78125
2263422,104424.78125
2263423,104424.78125
2263424,104424.78125
2263425,113215.0859375
2263426,119201.75
2263427,119201.75
2263428,119201.75
2263429,119201.75
2263430,104424.78125
2263431,104424.78125
2263432,92580.640625
2263433,92580.640625
2263434,92580.640625
2263436,92580.640625
2263437,92580.640625
2263438,104424.78125
2263439,92580.640625
2263440,92580.640625
2263441,104424.78125
2263442,104424.78125
2263443,104424.78125
2263444,104424.78125
2263445,221846.984375
2263453,118602.3125
2263460,320394.0
2263461,320394.0
2263464,102816.4765625
2263467,105783.21875
2263471,118082.421875
2263472,116217.25
2263476,388213.46875
2263477,381163.8125
2263480,388213.46875
2263482,273830.625
2263633,752457.9375
2263638,90876.328125
2263652,260240.125
2264067,93051.546875
2264075,104314.9140625
2264078,159452.875
2264079,142123.09375
2264080,568237.5625
2264151,74359.0625
2264153,133391.96875
2264155,326469.375
2264158,96479.3203125
2264162,111434.6875
2264164,62370.5546875
2264168,157207.375
2264173,62370.5546875
2264178,236547.265625
2264183,146412.421875
2264189,167009.921875
2264198,142321.578125
2264199,135195.1875
2264206,146412.421875
2264212,146412.421875
2264215,146412.421875
2264218,146412.421875
2264219,547709.3125
2264221,146412.421875
2264227,202169.59375
2264229,547709.3125
2264234,266485.34375
2264240,67584.890625
2264242,107356.734375
2264248,193610.84375
2264249,257239.265625
2264259,150016.453125
2264265,125185.90625
2264270,314203.4375
2264272,365811.375
2264274,342697.0
2264284,208430.546875
2264285,116060.7890625
2264286,116060.7890625
2264290,378695.34375
2264296,263302.34375
2264298,333440.875
2264305,79950.875
2264312,282194.84375
2264318,119151.7109375
2264320,161714.640625
2264323,402209.96875
2264376,402209.96875
2264474,679848.125
2264479,128768.890625
2264482,158509.421875
2264491,130622.859375
2264514,133659.40625
2264518,173056.53125
2264525,109637.734375
2264537,165514.71875
2264545,105076.96875
2264549,89535.0390625
2264569,90426.6875
2264570,92231.4765625
2264571,90426.6875
2264572,92231.4765625
2264573,100886.03125
2264574,159751.4375
2264575,74700.8046875
2264576,92231.4765625
2264577,100886.03125
2264578,163266.296875
2264589,529128.9375
2264598,146412.421875
2264600,146412.421875
2264603,146412.421875
2264604,146412.421875
2264607,146412.421875
2264610,146412.421875
2264617,167297.5625
2264618,85432.8359375
2264619,227295.46875
2264629,123555.921875
2264633,132550.296875
2264637,269092.75
2264686,161128.859375
2264690,135750.25
2264695,148642.78125
2264699,209655.171875
2264702,134249.78125
2264709,107810.9375
2264714,98948.0859375
2264717,107938.5859375
2264718,112600.03125
2264723,196481.390625
2264731,223140.5625
2264732,4035558.25
2264733,1090506.0
2264734,324283.96875
2264735,98767.171875
2264736,671405.375
2264737,634671.375
2264744,671405.375
2264745,500153.78125
2264747,671405.375
2264756,116246.90625
2264763,133571.234375
2264770,97873.75
2264773,280847.71875
2264774,282883.375
2264780,190000.0
2264785,124821.7578125
2264795,104450.65625
2264796,243666.21875
2264798,190000.0
2264799,424925.0
2264800,127546.0234375
2264801,132467.515625
2264807,224872.8125
2264808,90204.7890625
2264811,307707.5625
2264812,145239.4375
2264813,137335.84375
2264818,145239.4375
2264835,318537.53125
