id,price_usd
3632,661623.6875
3633,182456.5625
2263404,197484.453125
2263405,93548.625
2263406,123711.65625
2263407,93548.625
2263408,93548.625
2263409,93548.625
2263410,161671.046875
2263411,111114.0859375
2263412,111114.0859375
2263413,111114.0859375
2263415,302691.90625
2263416,703558.375
2263417,101464.2421875
2263418,101464.2421875
2263419,101464.2421875
2263420,101464.2421875
2263421,101464.2421875
2263422,101464.2421875
2263423,101464.2421875
2263424,101464.2421875
2263425,122469.1328125
2263426,124315.53125
2263427,124315.53125
2263428,124315.53125
2263429,124315.53125
2263430,101464.2421875
2263431,101464.2421875
2263432,88900.1875
2263433,88900.1875
2263434,88900.1875
2263436,88900.1875
2263437,88900.1875
2263438,101464.2421875
2263439,88900.1875
2263440,88900.1875
2263441,101464.2421875
2263442,101464.2421875
2263443,101464.2421875
2263444,101464.2421875
2263445,251806.3125
2263453,115382.90625
2263460,302691.90625
2263461,302691.90625
2263464,121264.703125
2263467,102151.578125
2263471,132119.0
2263472,130285.453125
2263476,396347.84375
2263477,397885.25
2263480,396347.84375
2263482,243921.359375
2263633,711938.0625
2263638,96551.6953125
2263652,291854.9375
2264067,94745.0859375
2264075,90931.0078125
2264078,166097.359375
2264079,143255.421875
2264080,645557.25
2264151,69098.6328125
2264153,146096.171875
2264155,319906.53125
2264158,102704.234375
2264162,118285.140625
2264164,49175.6953125
2264168,177012.046875
2264173,49175.6953125
2264178,230953.96875
2264183,146049.578125
2264189,154400.703125
2264198,141530.875
2264199,130469.4140625
2264206,146049.578125
2264212,146049.578125
2264215,146049.578125
2264218,146049.578125
2264219,519039.21875
2264221,146049.578125
2264227,216373.0
2264229,519039.21875
2264234,294485.78125
2264240,68599.375
2264242,111193.953125
2264248,111193.9140625
2264249,303896.625
2264259,145998.859375
2264265,155334.046875
2264270,296579.8125
2264272,298269.6875
2264274,343363.625
2264284,78955.640625
2264285,118289.78125
2264286,118289.78125
2264290,383095.90625
2264296,251273.375
2264298,330555.53125
2264305,85613.921875
2264312,269982.90625
2264318,122470.6796875
2264320,155855.53125
2264323,425407.0625
2264376,425407.0625
2264474,663708.625
2264479,126832.015625
2264482,187249.234375
2264491,122932.4609375
2264514,149312.6875
2264518,164328.03125
2264525,116577.3984375
2264537,183156.875
2264545,101608.921875
2264549,98785.1484375
2264569,112233.9921875
2264570,109579.0625
2264571,112233.9921875
2264572,109579.0625
2264573,107900.0234375
2264574,163773.09375
2264575,81420.828125
2264576,109579.0625
2264577,107900.0234375
2264578,186415.203125
2264589,509313.78125
2264598,146049.578125
2264600,146049.578125
2264603,146049.578125
2264604,146049.578125
2264607,146049.578125
2264610,146049.578125
2264617,175247.765625
2264618,84224.421875
2264619,226660.296875
2264629,141703.421875
2264633,140900.125
2264637,264470.46875
2264686,193388.703125
2264690,143155.421875
2264695,157168.15625
2264699,197994.34375
2264702,120927.21875
2264709,106067.5390625
2264714,100847.296875
2264717,105104.4375
2264718,109706.5546875
2264723,194690.359375
2264731,217333.390625
2264732,3492759.0
2264733,1078610.625
2264734,326689.125
2264735,156835.5625
2264736,719565.75
2264737,689299.1875
2264744,719565.75
2264745,452073.09375
2264747,719565.75
2264756,115806.3984375
2264763,180858.015625
2264770,96266.609375
2264773,284528.5625
2264774,291451.28125
2264780,277180.03125
2264785,135105.5625
2264795,106146.5546875
2264796,220919.4375
2264798,271286.21875
2264799,435261.125
