id,price_usd
3632,570000.0
3633,194682.671875
2263404,202796.078125
2263405,100084.546875
2263406,126697.34375
2263407,100084.546875
2263408,100084.546875
2263409,100084.546875
2263410,175886.703125
2263411,119032.8046875
2263412,119032.8046875
2263413,119032.8046875
2263415,284018.75
2263416,680290.0625
2263417,102081.9453125
2263418,102081.9453125
2263419,102081.9453125
2263420,102081.9453125
2263421,102081.9453125
2263422,102081.9453125
2263423,102081.9453125
2263424,102081.9453125
2263425,128018.7578125
2263426,127965.046875
2263427,127965.046875
2263428,127965.046875
2263429,127965.046875
2263430,102081.9453125
2263431,102081.9453125
2263432,97353.8359375
2263433,97353.8359375
2263434,97353.8359375
2263436,97353.8359375
2263437,97353.8359375
2263438,102081.9453125
2263439,97353.8359375
2263440,97353.8359375
2263441,102081.9453125
2263442,102081.9453125
2263443,102081.9453125
2263444,102081.9453125
2263445,251162.859375
2263453,114903.875
2263460,284018.75
2263461,284018.75
2263464,115632.78125
2263467,106263.6015625
2263471,129886.671875
2263472,128909.09375
2263476,364582.21875
2263477,372401.75
2263480,364582.21875
2263482,207612.765625
2263633,725277.75
2263638,104596.5546875
2263652,298985.78125
2264067,99319.2734375
2264075,96040.890625
2264078,167264.046875
2264079,166384.765625
2264080,631018.9375
2264151,72546.8515625
2264153,146874.578125
2264155,333076.96875
2264158,89807.5625
2264162,109265.6484375
2264164,52695.2734375
2264168,184030.234375
2264173,52695.2734375
2264178,228733.671875
2264183,161163.921875
2264189,142804.296875
2264198,132935.453125
2264199,124076.4453125
2264206,161163.921875
2264212,161163.921875
2264215,161163.921875
2264218,161163.921875
2264219,466636.75
2264221,161163.921875
2264227,204800.65625
2264229,466636.75
2264234,302473.84375
2264240,75913.75
2264242,111439.828125
2264248,198390.125
2264249,285297.90625
2264259,140626.65625
2264265,214815.59375
2264270,300831.15625
2264272,171560.015625
2264274,335175.5625
2264284,107391.171875
2264285,123305.96875
2264286,123305.96875
2264290,377276.375
2264296,244850.375
2264298,324528.53125
2264305,81729.7421875
2264312,286355.1875
2264318,117620.2421875
2264320,141546.890625
2264323,409310.15625
2264376,409310.15625
2264474,625136.9375
2264479,120857.40625
