id,price_aprox_usd
3632,510000.0
2263404,195783.64
2263410,136200.0
2263416,491000.0
2263432,111937.0
2263433,111937.0
2263434,111937.0
2263436,111937.0
2263437,111937.0
2263439,111937.0
2263440,111937.0
2263471,140900.0
2263472,132530.0
2263482,235000.0
2263638,84125.0
2263652,291400.0
2264079,165850.0
2264155,320000.0
2264158,86000.0
2264164,65600.0
2264173,65600.0
2264189,235000.0
2264219,690000.0
2264229,690000.0
2264249,330000.0
2264259,166000.0
2264274,329250.0
2264320,148333.333333
2264323,410000.0
2264376,410000.0
2264479,131500.0
2264618,96450.0
2264695,137500.0
2264702,108000.0
2264714,95090.9090909
2264717,100000.0
2264718,110595.333333
2264723,187500.0
2264731,160595.736
2264732,3877081.08108
2264733,1100000.0
2264734,275000.0
2264735,103000.0
2264736,728888.888889
2264737,650000.0
2264744,728888.888889
2264745,496428.571429
2264747,728888.888889
2264756,106714.285714
2264763,118000.0
2264770,82000.0
2264773,254000.0
2264774,258000.0
2264780,293000.0
2264785,120000.0
2264795,93000.0
2264796,205117.321429
2264798,290000.0
2264799,420000.0
2264800,143050.0
2264801,143268.0
2264807,267806.866667
2264808,123719.066667
2264811,265000.0
2264812,130000.0
2264818,130000.0
2264835,310000.0
2264838,128333.333333
2264878,67000.0
2264888,191000.0
2264890,46900.0
2264893,250000.0
2264896,140125.142857
2264920,220013.5
2264924,110000.0
2264925,125333.333333
2264927,160000.0
2264929,206817.0
2264940,105239.73913
2264943,113369.25
2264946,99443.3333333
2264952,661500.0
2264960,76200.0
2264970,413833.333333
2264971,105239.73913
2264975,99443.3333333
2264976,260000.0
2264981,63400.0
2264986,270000.0
2264989,138000.0
2264992,390000.0
2264994,105500.0
2264997,165000.0
2265009,130000.0
2265015,102200.0
2265019,395000.0
2265023,200000.0
2265028,59000.0
2265029,269166.666667
2265038,74714.2857143
2265045,350000.0
2265046,362666.666667
2265055,294570.0
2265057,399333.333333
2265059,227142.857143
2265060,210000.0
2265085,66750.0
2265086,74000.0
2265087,74000.0
2265180,105352.941176
2265183,176000.0
2265192,76700.0
2265230,315000.0
2265232,77000.0
2265236,349013.3
2265246,63400.0
2265258,193000.0
2265267,136600.0
2265270,126750.0
2265513,217500.0
2265537,420000.0
2265542,215000.0
2265551,130000.0
2265552,100833.333333
2265553,100833.333333
2265554,100833.333333
2265555,86146.1538462
2265557,86146.1538462
2265558,86146.1538462
2265559,124833.333333
2265560,124833.333333
2265561,124833.333333
2265562,124833.333333
2265563,128933.333333
2265564,128933.333333
2265565,128933.333333
2265566,128933.333333
2265567,162000.0
2265568,162000.0
2265569,162000.0
2265599,168000.0
2265606,55500.0
2265607,115000.0
2265610,95000.0
2265613,78413.1578947
2265614,168000.0
2265626,149000.0
2265630,134200.0
2265631,184992.322
2265632,76266.6666667
2265636,340000.0
2265638,102166.666667
2265639,171625.0
2265642,99000.0
2265670,143125.0
2265671,327422.222222
2265672,70836.6666667
2265674,234900.0
2265675,320000.0
2265676,140000.0
2265677,168475.0
2265678,108055.555556
2265681,128033.333333
2265683,141133.333333
2265684,171166.666667
2265685,126333.333333
2265687,237583.333333
2265688,91557.1428571
2265689,91557.1428571
2265690,142395.990333
2265691,91557.1428571
2265692,91557.1428571
2265693,91557.1428571
2265694,91557.1428571
2265695,91557.1428571
2265696,91557.1428571
2265697,97860.75
2265698,97860.75
2265699,97860.75
2265700,97860.75
2265701,91557.1428571
2265702,97860.75
2265703,97860.75
2265704,97860.75
2265705,97860.75
2265706,97860.75
2265707,97860.75
2265708,1500000.0
2265710,115600.0
2265711,116000.0
2265712,150480.0
2265719,290500.0
2265721,126333.333333
2265729,330000.0
2265733,123400.0
2265734,82333.3333333
2265755,152000.0
2265756,120000.0
2265757,120000.0
2265758,88933.75
2265780,121215.384615
2265781,184125.0
2265784,85000.0
2265785,95000.0
2265786,120000.0
2265787,172000.0
2265788,142166.666667
2265789,253333.333333
2265790,192500.0
2265791,192500.0
2265793,345000.0
2265794,352500.0
2265795,451000.0
2265798,345000.0
2265799,352500.0
2265800,291934.0
2265801,451000.0
2265804,88000.0
2265805,88000.0
2265809,131333.333333
2265810,89900.0
2265813,139000.0
2265816,194500.0
2265817,71428.5714286
2265818,63200.0
2265824,605987.997
2265830,81095.0
2265831,158000.0
2265833,184666.666667
2265834,199333.333333
2265851,820000.0
2265853,132500.0
2265857,86200.0
2265868,93000.0
2265869,94804.284
2265870,121875.0
2265871,121875.0
2265872,121875.0
2265873,121875.0
2265874,121875.0
2265876,95933.0
2265877,107973.0
2265887,327344.0
2265888,320000.0
2265889,78000.0
2265926,139250.0
2265927,90400.0
2265928,90400.0
2265929,90400.0
2265930,90400.0
2265931,69142.8571429
2265932,143500.0
2265934,490000.0
2265936,68000.0
2265937,78000.0
2265938,78000.0
2265946,80800.0
2265955,91333.3333333
2265957,799666.666667
2265959,110000.0
2265963,137500.0
2265964,107432.933333
2265966,136600.0
2265967,136600.0
2265974,69425.0
2265978,265000.0
2265980,122300.0
2265981,245000.0
2265982,509900.0
2265983,235000.0
2265984,119233.266667
2265988,207175.0
2265989,99045.8333333
2266032,352500.0
2266121,202600.0
2266156,227142.857143
2266158,230000.0
2266159,91636.3636364
2266342,280000.0
2266447,2400000.0
2266455,338750.0
2266748,140000.0
2266749,285000.0
2266793,205900.0
2266816,340000.0
2266826,78900.0
2266835,240000.0
2266838,78900.0
2266839,159416.666667
2266845,160142.857143
2266848,125000.0
2266851,150300.0
2266856,150000.0
2266857,102166.666667
2266898,308000.0
2266924,289600.0
2266945,110000.0
2266947,199000.0
2267049,163448.666667
2267051,163448.666667
2267073,135000.0
2267074,82340.0
2267076,750000.0
2267097,218250.0
2267100,106000.0
2267109,77388.7
2267169,114660.0
2267178,250000.0
2267180,120500.0
2267181,162500.0
2267238,138750.0
2267239,232500.0
2267251,168475.0
2267257,150000.0
2267259,156714.285714
2267260,141000.0
2267261,130000.0
2267262,136866.666667
2267302,350000.0
2267306,149125.0
2267307,160000.0
2267308,154200.0
2267311,150000.0
2267312,267000.0
2267316,260000.0
2267318,77130.316
2267319,190000.0
2267321,93625.0
2267323,93625.0
2267324,93625.0
2267325,93625.0
2267326,65375.0
2267332,230000.0
2267333,251600.0
2267334,78461.5384615
2267336,78461.5384615
2267337,78461.5384615
2267338,360399.7
2267339,335000.0
2267341,42798.78
2267342,297384.079
2267345,249400.0
2267348,650000.0
2267349,313750.0
2267350,840000.0
2267365,340000.0
2267366,182400.0
2267371,485000.0
2267372,385000.0
2267373,389100.0
2267386,124501.278462
2267475,115618.125
2267487,450000.0
2267489,168333.333333
2267504,470000.0
2267515,117500.0
2267516,176827.5
2267517,86500.0
2267527,326490.0
2267533,148186.5
2267544,242857.142857
2267546,154000.0
2267547,170975.0
2267551,145000.0
2267602,192100.0
2267603,199666.666667
2267605,90600.0
2267608,78500.0
2267609,155000.0
2267623,122500.0
2267624,165000.0
2267629,130000.0
2267637,85000.0
2267638,200000.0
2267653,122500.0
2267654,76750.0
2267657,115000.0
2267668,104000.0
2267671,626000.0
2267672,291931.0
2267673,276300.0
2267674,204000.0
2267675,104940.0
2267677,387000.0
2267693,193100.0
2267694,430000.0
2267696,160500.0
2267705,75000.0
2267711,108300.733333
2267712,67000.0
2267731,80000.0
2267792,240000.0
2267800,374325.0
2267821,330000.0
2267932,81812.5
2267934,85000.0
2267946,72000.0
2267947,70000.0
2267953,258500.0
2267958,177535.428571
2267960,59333.3333333
2267978,115000.0
2267981,901000.0
2267994,85000.0
2268002,364000.0
2268003,267666.666667
2268005,136600.722222
2268045,265000.0
2268050,258500.0
2268051,77000.0
2268052,220000.0
2268053,95450.0
2268055,60488.512
2268145,75375.0
2268158,450000.0
2268160,174200.0
2268295,76000.0
2268312,315000.0
2268315,159347.826087
2268318,343000.0
2268333,258333.333333
2269116,260000.0
2269129,197500.0
2269155,98933.3333333
2269172,67000.0
2269180,230000.0
2269185,240000.0
2269187,125000.0
2269203,147389.116667
2269205,312000.0
2269206,112790.909091
2269211,82174.985
2269278,36454.38
2269302,272540.046667
2269424,313250.0
2269438,82100.0
2269462,289300.0
2269464,106714.285714
2269535,320800.0
2269542,144622.142857
2269640,168010.2
2269762,122727.272727
2269763,305600.0
2269794,269333.333333
2269800,97000.0
2270115,1950000.0
2270126,101984.294118
2270130,383000.0
2270131,160000.0
2270139,557021.0
2270165,82000.0
2270166,61000.0
2270167,150766.666667
2270209,412000.0
2270216,215027.083333
2270219,89500.0
2270227,235000.0
2270232,1500000.0
2270235,510000.0
2270243,177536.636364
2270246,355333.333333
2270248,690000.0
2270260,74800.0
2270276,330000.0
2270280,210000.0
2270290,450000.0
2270317,134234.666667
2270326,272500.0
2270337,79005.0
2270351,295000.0
2270358,240000.0
2270363,160000.0
2270373,383333.333333
2270386,63000.0
2270387,260000.0
2270414,180000.0
2270416,56000.0
2270417,283382.307692
2270424,148483.333333
2270426,172000.0
2270436,90000.0
2270439,248000.0
2270454,248000.0
2270455,160000.0
2270457,189000.0
2270458,248750.0
2270464,554500.0
2270465,1500000.0
2270518,180000.0
2270524,171686.206897
2270528,98000.0
2270539,286892.122
2270543,327000.0
2270546,200000.0
2270549,152726.666667
2270550,327000.0
2270568,82509.0533333
2270578,481500.0
2270588,450000.0
2270589,520000.0
2270598,170000.0
2270601,118400.0
2270604,98000.0
2270607,142500.0
2270765,147389.116667
2270769,56664.269
2270770,65000.0
2270800,168000.0
2270825,104210.7075
2270937,910000.0
2270942,325000.0
2270947,184500.0
2270964,115222.222222
2270968,121450.0
2271005,142000.0
2271017,135666.666667
2271028,135000.0
2271072,94766.3866667
2271124,211919.875
2271136,610833.333333
2271164,75666.225
2271167,770000.0
2271187,150527.272727
2271193,177400.0
2271201,199000.0
2271210,169160.0
2271211,169160.0
2271212,459500.0
2271213,415000.0
2271218,260000.0
2271221,82000.0
2271233,221000.0
2271234,352044.444444
2271235,345000.0
2271236,135000.0
2271238,567500.0
2271248,575000.0
2271255,112450.0
2271257,115833.333333
2271258,115000.0
2271261,148111.111111
2271268,225000.0
2271283,60000.0
2271287,253266.666667
2271302,155000.0
2271310,114666.666667
2271311,116666.666667
2271313,162788.009
2271317,196534.266667
2271319,533150.0
2271320,872500.0
2271325,150220.0
2271328,212500.0
2271338,78800.0
2271339,78800.0
2271347,820000.0
2271349,59000.0
2271351,512974.4
2271358,123083.333333
2271363,233000.0
2271368,130000.0
2271377,215212.5
2271379,138028.571429
2271380,184133.333333
