id,price_aprox_usd
3632,578000.0
2263404,213660.0
2263410,132700.0
2263416,883000.0
2263432,83898.9903036
2263433,83898.9903036
2263434,83898.9903036
2263436,83898.9903036
2263437,83898.9903036
2263439,83898.9903036
2263440,83898.9903036
2263471,101756.235
2263472,128200.0
2263482,275809.3
2263638,87300.0
2263652,303900.0
2264079,145800.0
2264155,301990.0
2264158,85800.0
2264164,65600.0
2264173,65600.0
2264189,166000.0
2264219,512585.0
2264229,512585.0
2264249,386518.3
2264259,151830.0
2264274,338400.0
2264320,163200.0
2264323,488000.0
2264376,488000.0
2264479,140840.655
2264618,87657.342
2264695,145000.0
2264702,116983.553846
2264714,107090.0
2264717,103550.0
2264718,102052.4
2264723,173750.0
2264731,209900.0
2264732,4520000.0
2264733,1080000.0
2264734,252200.0
2264735,116400.0
2264736,620000.0
2264737,679750.0
2264744,620000.0
2264745,526689.1
2264747,620000.0
2264756,104450.0
2264763,118700.0
2264770,87100.0
2264773,259900.0
2264774,257900.0
2264780,290900.0
2264785,108538.25
2264795,111800.0
2264796,243789.5
2264798,269070.246
2264799,411000.0
2264800,133410.0
2264801,194170.0
2264807,209900.0
2264808,94110.0
2264811,293000.0
2264812,136296.0
2264818,136296.0
2264835,354000.0
2264838,129730.0
2264878,66704.7
2264888,175600.0
2264890,59033.4280093
2264893,235800.0
2264896,193634.4
2264920,220918.56
2264924,119640.0
2264925,142000.0
2264927,160000.0
2264929,214630.4
2264940,138279.95
2264943,106358.675
2264946,103010.25
2264952,676500.0
2264960,69680.0
2264970,464200.0
2264971,138279.95
2264975,103010.25
2264976,251525.0
2264981,61440.0
2264986,341900.0
2264989,135800.0
2264992,394500.0
2264994,129300.0
2264997,153000.0
2265009,134400.0
2265015,98450.0
2265019,417000.0
2265023,220080.0
2265028,59600.0
2265029,231700.0
2265038,85700.0
2265045,368500.0
2265046,358900.0
2265055,429900.0
2265057,498000.0
2265059,270000.0
2265060,262950.7
2265085,73933.3333333
2265086,86479.0
2265087,76400.0
2265180,104300.0
2265183,170660.0
2265192,54300.0
2265230,337500.0
2265232,77400.0
2265236,434613.3
2265246,61440.0
2265258,191800.0
2265267,148100.0
2265270,162200.0
2265513,227052.5
2265537,292600.0
2265542,202240.0
2265551,140800.0
2265552,104038.333333
2265553,104038.333333
2265554,104038.333333
2265555,99870.8333333
2265557,99870.8333333
2265558,99870.8333333
2265559,137945.0
2265560,137945.0
2265561,137945.0
2265562,137945.0
2265563,160575.238095
2265564,160575.238095
2265565,160575.238095
2265566,160575.238095
2265567,162896.666667
2265568,162896.666667
2265569,162896.666667
2265599,131400.0
2265606,66500.0
2265607,93559.7
2265610,104000.0
2265613,81486.6666667
2265614,150950.0
2265626,168566.666667
2265630,137400.0
2265631,235400.0
2265632,80050.0
2265636,325000.0
2265638,83740.0
2265639,148900.0
2265642,101350.0
2265670,166649.0
2265671,82080.0
2265672,62785.0
2265674,256830.0
2265675,307000.0
2265676,140400.0
2265677,135900.0
2265678,112246.055556
2265681,135000.0
2265683,146530.0
2265684,154300.0
2265685,122185.294118
2265687,232148.209
2265688,93016.79329
2265689,93016.79329
2265690,122200.0
2265691,93016.79329
2265692,93016.79329
2265693,93016.79329
2265694,93016.79329
2265695,93016.79329
2265696,93016.79329
2265697,98706.9144444
2265698,98706.9144444
2265699,98706.9144444
2265700,98706.9144444
2265701,93016.79329
2265702,98706.9144444
2265703,98706.9144444
2265704,98706.9144444
2265705,98706.9144444
2265706,98706.9144444
2265707,98706.9144444
2265708,2005000.0
2265710,119880.0
2265711,115320.0
2265712,130350.0
2265719,315890.0
2265721,142252.0
2265729,295500.0
2265733,131000.0
2265734,85200.0
2265755,137500.0
2265756,136000.0
2265757,136000.0
2265758,110400.0
2265780,136990.0
2265781,214300.0
2265784,91000.0
2265785,112000.0
2265786,131000.0
2265787,190400.0
2265788,142400.0
2265789,199000.0
2265790,195000.0
2265791,195000.0
2265793,345000.0
2265794,345000.0
2265795,345000.0
2265798,345000.0
2265799,345000.0
2265800,345000.0
2265801,345000.0
2265804,87350.0
2265805,88000.0
2265809,126633.725
2265810,106580.0
2265813,109790.0
2265816,242800.0
2265817,71660.0
2265818,69923.0
2265824,511000.0
2265830,69580.0
2265831,186184.147
2265833,196600.0
2265834,197100.0
2265851,797500.0
2265853,131170.436
2265857,84700.0
2265868,112700.0
2265869,91266.3
2265870,120000.0
2265871,120000.0
2265872,120000.0
2265873,120000.0
2265874,120000.0
2265876,90778.696
2265877,113886.5
2265887,551000.0
2265888,390900.0
2265889,82650.0
2265926,150700.0
2265927,95000.0
2265928,95000.0
2265929,95000.0
2265930,95000.0
2265931,66500.0
2265932,180400.0
2265934,350500.0
2265936,78800.0
2265937,80200.0
2265938,75790.0
2265946,92070.0
2265955,93781.404
2265957,807000.0
2265959,110000.0
2265963,102987.997
2265964,114403.5
2265966,141275.0
2265967,141275.0
2265974,69925.0
2265978,259000.0
2265980,112550.0
2265981,225300.0
2265982,282000.0
2265983,190600.0
2265984,131943.9
2265988,168638.0
2265989,95500.0
2266032,304500.0
2266121,201400.0
2266156,270000.0
2266158,215100.0
2266159,94100.0
2266342,357000.0
2266447,2330000.0
2266455,340000.0
2266748,136000.0
2266749,296900.0
2266793,221290.4
2266816,286800.0
2266826,84950.0
2266835,247000.0
2266838,84950.0
2266839,180300.0
2266845,156300.0
2266848,120300.0
2266851,160299.9
2266856,155250.0
2266857,89250.0
2266898,303300.0
2266924,455400.0
2266945,106100.0
2266947,185455.0
2267049,140408.666667
2267051,140408.666667
2267073,126000.0
2267074,94180.0
2267076,571600.0
2267097,313700.0
2267100,143403.506733
2267109,95141.6666667
2267169,109382.4
2267178,245500.0
2267180,133600.0
2267181,177624.766667
2267238,139900.0
2267239,275616.5
2267251,150000.0
2267257,157685.0
2267259,169950.0
2267260,153500.0
2267261,103300.0
2267262,124078.7
2267302,345000.0
2267306,65533.3333333
2267307,192400.0
2267308,125300.0
2267311,193900.0
2267312,237900.0
2267316,253500.0
2267318,77700.0
2267319,174800.0
2267321,103343.333333
2267323,103343.333333
2267324,103343.333333
2267325,103343.333333
2267326,81650.004
2267332,272000.0
2267333,244700.0
2267334,76100.0
2267336,76100.0
2267337,76100.0
2267338,235800.0
2267339,319500.0
2267341,55327.678
2267342,96150.0
2267345,244300.0
2267348,569900.0
2267349,308281.8
2267350,756200.0
2267365,340600.0
2267366,224800.0
2267371,485000.0
2267372,429000.0
2267373,539000.0
