id,price_usd
3632,566827.4589598402
2263404,231957.8131471353
2263410,187956.24757837623
2263416,618398.9335397534
2263432,87156.50996250652
2263433,87156.50996250652
2263434,87156.50996250652
2263436,87156.50996250652
2263437,87156.50996250652
2263439,87156.50996250652
2263440,87156.50996250652
2263471,114435.10742555742
2263472,114494.91308386282
2263482,250546.7415592792
2263638,103333.09358091153
2263652,314378.94244389544
2264079,211726.92232960064
2264155,315967.8443616895
2264158,92259.61757084569
2264164,37826.889472689174
2264173,37826.889472689174
2264189,197130.86637600666
2264219,335043.4726496248
2264229,335043.4726496248
2264249,305666.29519134347
2264259,122540.26221373436
2264274,308259.9269314286
2264320,162438.5460647961
2264323,481027.1014007197
2264376,481027.1014007197
2264479,117986.71318530422
2264618,85939.60580884424
2264695,125647.18865548771
2264702,516573.015730139
2264714,109344.09806864231
2264717,111812.18671526975
2264718,125676.58005630864
2264723,209335.81582347746
2264731,225084.7987513299
2264732,4380304.980790255
2264733,1183607.6843313223
2264734,208535.127947794
2264735,131388.62496505538
2264736,1180539.9821028113
2264737,533309.8793692657
2264744,1180539.9821028113
2264745,444917.1056039184
2264747,1180539.9821028113
2264756,124183.26967297033
2264763,161107.8988748812
2264770,98579.18897388043
2264773,260271.10667180177
2264774,281076.5861613824
2264780,279945.67843565514
2264785,132794.61059503476
2264795,143796.2207290805
2264796,222784.80774031687
2264798,234749.5808073172
2264799,487759.01601926744
2264800,105634.95569419373
2264801,165728.88071508228
2264807,221734.24348205884
2264808,166993.12961989688
2264811,252696.4813115402
2264812,237193.33954392376
2264818,237193.33954392376
2264835,358328.8950663056
2264838,103046.95767404548
2264878,59531.74754042599
2264888,155439.6805584546
2264890,19193.975756309137
2264893,176458.62860331024
2264896,188946.5876349796
2264920,217897.7633207478
2264924,121614.26484475697
2264925,92280.69688179382
2264927,159758.12378874497
2264929,245976.2178351742
2264940,134427.02869917033
2264943,130612.06753310883
2264946,104511.73564179792
2264952,540623.1706778863
2264960,86804.45671980467
2264970,543303.3471554898
2264971,134427.02869917033
2264975,104511.73564179792
2264976,291705.22867289506
2264981,61542.8248028081
2264986,355766.76565171714
2264989,122521.98765238097
2264992,555055.7468482576
2264994,119804.49465023873
2264997,161664.550570585
2265009,253754.87078213907
2265015,72613.6177570924
2265019,549730.1490859631
2265023,243956.26916542093
2265028,56784.00772857009
2265029,289565.0251950858
2265038,94170.75267248903
2265045,390860.59682467603
2265046,322432.9433358111
2265055,412030.34781682666
2265057,482823.55805236887
2265059,223387.02833945703
2265060,316071.02451839816
2265085,75813.04388831973
2265086,98742.30762421456
2265087,91280.75934013292
2265180,111142.68704339929
2265183,175041.88445808488
2265192,108750.71788853874
2265230,147401.1205114838
2265232,61490.392882131375
2265236,349034.60842976277
2265246,61542.8248028081
2265258,172786.62175725258
2265267,136296.36519250929
2265270,114738.08106690865
2265513,253765.09182861247
2265537,335550.82346159
2265542,273690.1573127381
2265551,179392.76543467352
2265552,90583.28535616423
2265553,90583.28535616423
2265554,90583.28535616423
2265555,90583.28535616423
2265557,90583.28535616423
2265558,90583.28535616423
2265559,107444.43454467233
2265560,107444.43454467233
2265561,107444.43454467233
2265562,107444.43454467233
2265563,120572.15148156082
2265564,120572.15148156082
2265565,120572.15148156082
2265566,120572.15148156082
2265567,120572.15148156082
2265568,120572.15148156082
2265569,120572.15148156082
2265599,111612.95774962057
2265606,55430.78902105219
2265607,97437.83093604493
2265610,118320.06592996963
2265613,87983.65778574164
2265614,213606.53801518647
2265626,163401.9809935019
2265630,161879.47291658053
2265631,212346.08674605002
2265632,63057.81182154796
2265636,327666.8594197142
2265638,84607.60902586431
2265639,164186.70991498206
2265642,101324.15208371406
2265670,134944.5366887713
2265671,78913.29994537326
2265672,91427.40255416563
2265674,139529.64007633342
2265675,267041.5639976897
2265676,162437.74879945553
2265677,112618.52178992075
2265678,190548.2627931814
2265681,130692.69654222821
2265683,148939.39804228477
2265684,137432.45356336716
2265685,139125.0191930469
2265687,212833.78720741675
2265688,93076.2708997372
2265689,93076.2708997372
2265690,113109.58216633789
2265691,93076.2708997372
2265692,93076.2708997372
2265693,93076.2708997372
2265694,93076.2708997372
2265695,93076.2708997372
2265696,93076.2708997372
2265697,93076.2708997372
2265698,93076.2708997372
2265699,93076.2708997372
2265700,93076.2708997372
